"","X","time","gaze_pos.ordinal","gaze_pos.onset","gaze_pos.offset","AOI","trials.ordinal","trials.onset","trials.offset","trials.number","trial_duration","word_onset","word_offset","word","Adjusted_Word_Onset","Adjusted_Word_Offset","Label_Position","Individual_Gaze_Durations","Adjusted_Gaze_Start","Adjusted_Gaze_End"
"1",1,75684,1,75684,75717,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,0,33
"2",2,75750,2,75718,75751,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,34,67
"3",3,75783,3,75752,75785,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,68,101
"4",4,75816,4,75786,75819,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,102,135
"5",5,75849,5,75820,75853,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,136,169
"6",6,75882,6,75854,75887,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,170,203
"7",7,75915,7,75888,75921,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,204,237
"8",8,75948,8,75922,75955,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,238,271
"9",9,75981,9,75956,75989,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,272,305
"10",10,76014,10,75990,76023,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,306,339
"11",11,76047,11,76024,76057,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,340,373
"12",12,76080,12,76058,76091,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,374,407
"13",13,76113,13,76092,76125,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,408,441
"14",14,76146,14,76126,76159,"left",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,442,475
"15",15,76179,15,76160,76193,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,476,509
"16",16,76212,16,76194,76227,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,510,543
"17",17,76245,17,76228,76261,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,544,577
"18",18,76278,18,76262,76295,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,578,611
"19",19,76311,19,76296,76329,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,612,645
"20",20,76344,20,76330,76363,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,646,679
"21",21,76377,21,76364,76397,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,680,713
"22",22,76410,22,76398,76431,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,714,747
"23",23,76443,23,76432,76465,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,748,781
"24",24,76476,24,76466,76499,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,782,815
"25",25,76509,25,76500,76533,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,816,849
"26",26,76542,26,76534,76567,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,850,883
"27",27,76575,27,76568,76601,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,884,917
"28",28,76608,28,76602,76635,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,918,951
"29",29,76641,29,76636,76669,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,952,985
"30",30,76674,30,76670,76703,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,986,1019
"31",31,76707,31,76704,76737,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1020,1053
"32",32,76740,32,76738,76771,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1054,1087
"33",33,76773,33,76772,76805,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1088,1121
"34",34,76806,34,76806,76839,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1122,1155
"35",35,76839,34,76806,76839,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1122,1155
"36",36,76872,35,76840,76873,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1156,1189
"37",37,76905,36,76874,76907,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1190,1223
"38",38,76938,37,76908,76941,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1224,1257
"39",39,76971,38,76942,76975,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1258,1291
"40",40,77004,39,76976,77009,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1292,1325
"41",41,77037,40,77010,77043,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1326,1359
"42",42,77070,41,77044,77077,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1360,1393
"43",43,77103,42,77078,77111,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,1394,1427
"44",44,77136,43,77112,77145,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1428,1461
"45",45,77169,44,77146,77179,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1462,1495
"46",46,77202,45,77180,77213,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1496,1529
"47",47,77235,46,77214,77247,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1530,1563
"48",48,77268,47,77248,77281,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1564,1597
"49",49,77301,48,77282,77315,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1598,1631
"50",50,77334,49,77316,77349,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1632,1665
"51",51,77367,50,77350,77383,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1666,1699
"52",52,77400,51,77384,77417,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1700,1733
"53",53,77433,52,77418,77451,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1734,1767
"54",54,77466,53,77452,77485,"not looking",1,75684,80206,438,4522,77134,77477,"four",1450,1793,1621.5,33,1768,1801
"55",55,77499,54,77486,77519,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,1802,1835
"56",56,77532,55,77520,77553,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,1836,1869
"57",57,77565,56,77554,77587,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,1870,1903
"58",58,77598,57,77588,77621,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,1904,1937
"59",59,77631,58,77622,77655,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,1938,1971
"60",60,77664,59,77656,77689,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,1972,2005
"61",61,77697,60,77690,77723,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,2006,2039
"62",62,77730,61,77724,77757,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,2040,2073
"63",63,77763,62,77758,77791,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,2074,2107
"64",64,77796,63,77792,77825,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,2108,2141
"65",65,77829,64,77826,77859,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,2142,2175
"66",66,77862,65,77860,77893,"not looking",1,75684,80206,438,4522,77477,77865,"hundred",1793,2181,1987,33,2176,2209
"67",67,77895,66,77894,77927,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2210,2243
"68",68,77928,67,77928,77961,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2244,2277
"69",69,77961,67,77928,77961,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2244,2277
"70",70,77994,68,77962,77995,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2278,2311
"71",71,78027,69,77996,78029,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2312,2345
"72",72,78060,70,78030,78063,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2346,2379
"73",73,78093,71,78064,78097,"not looking",1,75684,80206,438,4522,77865,78094,"and",2181,2410,2295.5,33,2380,2413
"74",74,78126,72,78098,78131,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2414,2447
"75",75,78159,73,78132,78165,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2448,2481
"76",76,78192,74,78166,78199,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2482,2515
"77",77,78225,75,78200,78233,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2516,2549
"78",78,78258,76,78234,78267,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2550,2583
"79",79,78291,77,78268,78301,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2584,2617
"80",80,78324,78,78302,78335,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2618,2651
"81",81,78357,79,78336,78369,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2652,2685
"82",82,78390,80,78370,78403,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2686,2719
"83",83,78423,81,78404,78437,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2720,2753
"84",84,78456,82,78438,78471,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2754,2787
"85",85,78489,83,78472,78505,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2788,2821
"86",86,78522,84,78506,78539,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2822,2855
"87",87,78555,85,78540,78573,"not looking",1,75684,80206,438,4522,78094,78564,"thirty",2410,2880,2645,33,2856,2889
"88",88,78588,86,78574,78607,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,2890,2923
"89",89,78621,87,78608,78641,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,2924,2957
"90",90,78654,88,78642,78675,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,2958,2991
"91",91,78687,89,78676,78709,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,2992,3025
"92",92,78720,90,78710,78743,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,3026,3059
"93",93,78753,91,78744,78777,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,3060,3093
"94",94,78786,92,78778,78811,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,3094,3127
"95",95,78819,93,78812,78845,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,3128,3161
"96",96,78852,94,78846,78879,"not looking",1,75684,80206,438,4522,78564,78871,"eight",2880,3187,3033.5,33,3162,3195
"97",97,78885,95,78880,78913,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3196,3229
"98",98,78918,96,78914,78947,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3230,3263
"99",99,78951,97,78948,78981,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3264,3297
"100",100,78984,98,78982,79015,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3298,3331
"101",101,79017,99,79016,79049,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3332,3365
"102",102,79050,100,79050,79083,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3366,3399
"103",103,79083,100,79050,79083,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3366,3399
"104",104,79116,101,79084,79117,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3400,3433
"105",105,79149,102,79118,79151,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3434,3467
"106",106,79182,103,79152,79185,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3468,3501
"107",107,79215,104,79186,79219,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3502,3535
"108",108,79248,105,79220,79253,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3536,3569
"109",109,79281,106,79254,79287,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3570,3603
"110",110,79314,107,79288,79321,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3604,3637
"111",111,79347,108,79322,79355,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3638,3671
"112",112,79380,109,79356,79389,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3672,3705
"113",113,79413,110,79390,79423,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3706,3739
"114",114,79446,111,79424,79457,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3740,3773
"115",115,79479,112,79458,79491,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3774,3807
"116",116,79512,113,79492,79525,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3808,3841
"117",117,79545,114,79526,79559,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3842,3875
"118",118,79578,115,79560,79593,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3876,3909
"119",119,79611,116,79594,79627,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3910,3943
"120",120,79644,117,79628,79661,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3944,3977
"121",121,79677,118,79662,79695,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,3978,4011
"122",122,79710,119,79696,79729,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4012,4045
"123",123,79743,120,79730,79763,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4046,4079
"124",124,79776,121,79764,79797,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4080,4113
"125",125,79809,122,79798,79831,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4114,4147
"126",126,79842,123,79832,79865,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4148,4181
"127",127,79875,124,79866,79899,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4182,4215
"128",128,79908,125,79900,79933,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4216,4249
"129",129,79941,126,79934,79967,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4250,4283
"130",130,79974,127,79968,80001,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4284,4317
"131",131,80007,128,80002,80035,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4318,4351
"132",132,80040,129,80036,80069,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4352,4385
"133",133,80073,130,80070,80103,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4386,4419
"134",134,80106,131,80104,80137,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4420,4453
"135",135,80139,132,80138,80171,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4454,4487
"136",136,80172,133,80172,80205,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4488,4521
"137",137,80205,133,80172,80205,"not looking",1,75684,80206,438,4522,NA,NA,NA,NA,NA,NA,33,4488,4521
"138",138,91722,134,91698,91731,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,0,33
"139",139,91755,135,91732,91765,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,34,67
"140",140,91788,136,91766,91799,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,68,101
"141",141,91821,137,91800,91833,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,102,135
"142",142,91854,138,91834,91867,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,136,169
"143",143,91887,139,91868,91901,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,170,203
"144",144,91920,140,91902,91935,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,204,237
"145",145,91953,141,91936,91969,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,238,271
"146",146,91986,142,91970,92003,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,272,305
"147",147,92019,143,92004,92037,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,306,339
"148",148,92052,144,92038,92071,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,340,373
"149",149,92085,145,92072,92105,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,374,407
"150",150,92118,146,92106,92139,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,408,441
"151",151,92151,147,92140,92173,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,442,475
"152",152,92184,148,92174,92207,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,476,509
"153",153,92217,149,92208,92241,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,510,543
"154",154,92250,150,92242,92275,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,544,577
"155",155,92283,151,92276,92309,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,578,611
"156",156,92316,152,92310,92343,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,612,645
"157",157,92349,153,92344,92377,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,646,679
"158",158,92382,154,92378,92411,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,680,713
"159",159,92415,155,92412,92445,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,714,747
"160",160,92448,156,92446,92479,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,748,781
"161",161,92481,157,92480,92513,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,782,815
"162",162,92514,158,92514,92547,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,816,849
"163",163,92547,158,92514,92547,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,816,849
"164",164,92580,159,92548,92581,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,850,883
"165",165,92613,160,92582,92615,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,884,917
"166",166,92646,161,92616,92649,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,918,951
"167",167,92679,162,92650,92683,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,952,985
"168",168,92712,163,92684,92717,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,986,1019
"169",169,92745,164,92718,92751,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,1020,1053
"170",170,92778,165,92752,92785,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,1054,1087
"171",171,92811,166,92786,92819,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,1088,1121
"172",172,92844,167,92820,92853,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,1122,1155
"173",173,92877,168,92854,92887,"not looking",2,91698,96220,836,4522,NA,NA,NA,NA,NA,NA,33,1156,1189
"174",174,92910,169,92888,92921,"not looking",2,91698,96220,836,4522,92902,93102,"eight",1204,1404,1304,33,1190,1223
"175",175,92943,170,92922,92955,"not looking",2,91698,96220,836,4522,92902,93102,"eight",1204,1404,1304,33,1224,1257
"176",176,92976,171,92956,92989,"not looking",2,91698,96220,836,4522,92902,93102,"eight",1204,1404,1304,33,1258,1291
"177",177,93009,172,92990,93023,"not looking",2,91698,96220,836,4522,92902,93102,"eight",1204,1404,1304,33,1292,1325
"178",178,93042,173,93024,93057,"not looking",2,91698,96220,836,4522,92902,93102,"eight",1204,1404,1304,33,1326,1359
"179",179,93075,174,93058,93091,"not looking",2,91698,96220,836,4522,92902,93102,"eight",1204,1404,1304,33,1360,1393
"180",180,93108,175,93092,93125,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1394,1427
"181",181,93141,176,93126,93159,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1428,1461
"182",182,93174,177,93160,93193,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1462,1495
"183",183,93207,178,93194,93227,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1496,1529
"184",184,93240,179,93228,93261,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1530,1563
"185",185,93273,180,93262,93295,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1564,1597
"186",186,93306,181,93296,93329,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1598,1631
"187",187,93339,182,93330,93363,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1632,1665
"188",188,93372,183,93364,93397,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1666,1699
"189",189,93405,184,93398,93431,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1700,1733
"190",190,93438,185,93432,93465,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1734,1767
"191",191,93471,186,93466,93499,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1768,1801
"192",192,93504,187,93500,93533,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1802,1835
"193",193,93537,188,93534,93567,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1836,1869
"194",194,93570,189,93568,93601,"not looking",2,91698,96220,836,4522,93102,93572,"hundred",1404,1874,1639,33,1870,1903
"195",195,93603,190,93602,93635,"not looking",2,91698,96220,836,4522,93572,93714,"and",1874,2016,1945,33,1904,1937
"196",196,93636,191,93636,93669,"not looking",2,91698,96220,836,4522,93572,93714,"and",1874,2016,1945,33,1938,1971
"197",197,93669,191,93636,93669,"not looking",2,91698,96220,836,4522,93572,93714,"and",1874,2016,1945,33,1938,1971
"198",198,93702,192,93670,93703,"not looking",2,91698,96220,836,4522,93572,93714,"and",1874,2016,1945,33,1972,2005
"199",199,93735,193,93704,93737,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2006,2039
"200",200,93768,194,93738,93771,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2040,2073
"201",201,93801,195,93772,93805,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2074,2107
"202",202,93834,196,93806,93839,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2108,2141
"203",203,93867,197,93840,93873,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2142,2175
"204",204,93900,198,93874,93907,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2176,2209
"205",205,93933,199,93908,93941,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2210,2243
"206",206,93966,200,93942,93975,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2244,2277
"207",207,93999,201,93976,94009,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2278,2311
"208",208,94032,202,94010,94043,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2312,2345
"209",209,94065,203,94044,94077,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2346,2379
"210",210,94098,204,94078,94111,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2380,2413
"211",211,94131,205,94112,94145,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2414,2447
"212",212,94164,206,94146,94179,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2448,2481
"213",213,94197,207,94180,94213,"not looking",2,91698,96220,836,4522,93714,94224,"thirty",2016,2526,2271,33,2482,2515
"214",214,94230,208,94214,94247,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2516,2549
"215",215,94263,209,94248,94281,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2550,2583
"216",216,94296,210,94282,94315,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2584,2617
"217",217,94329,211,94316,94349,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2618,2651
"218",218,94362,212,94350,94383,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2652,2685
"219",219,94395,213,94384,94417,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2686,2719
"220",220,94428,214,94418,94451,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2720,2753
"221",221,94461,215,94452,94485,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2754,2787
"222",222,94494,216,94486,94519,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2788,2821
"223",223,94527,217,94520,94553,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2822,2855
"224",224,94560,218,94554,94587,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2856,2889
"225",225,94593,219,94588,94621,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2890,2923
"226",226,94626,220,94622,94655,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2924,2957
"227",227,94659,221,94656,94689,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2958,2991
"228",228,94692,222,94690,94723,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,2992,3025
"229",229,94725,223,94724,94757,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,3026,3059
"230",230,94758,224,94758,94791,"not looking",2,91698,96220,836,4522,94224,95030,"six",2526,3332,2929,33,3060,3093
